token	year	seq
by	1789	255
a	1789	256
grateful	1789	257
remembrance	1789	258
of	1789	259
former	1789	260
instances	1789	261
or	1789	262
by	1789	263
an	1789	264
affectionate	1789	265
sensibility	1789	266
to	1789	267
this	1789	268
transcendent	1789	269
proof	1789	270
of	1789	271
the	1789	272
confidence	1789	273
of	1789	274
my	1789	275
fellow	1789	276
citizens	1789	277
and	1789	278
have	1789	279
thence	1789	280
too	1789	281
little	1789	282
consulted	1789	283
my	1789	284
incapacity	1789	285
as	1789	286
well	1789	287
as	1789	288
disinclination	1789	289
for	1789	290
the	1789	291
weighty	1789	292
and	1789	293
untried	1789	294
cares	1789	295
before	1789	296
me	1789	297
my	1789	298
error	1789	299
will	1789	300
be	1789	301
palliated	1789	302
by	1789	303
the	1789	304
motives	1789	305
which	1789	306
mislead	1789	307
me	1789	308
and	1789	309
its	1789	310
consequences	1789	311
be	1789	312
judged	1789	313
by	1789	314
my	1789	315
country	1789	316
with	1789	317
some	1789	318
share	1789	319
of	1789	320
the	1789	321
partiality	1789	322
in	1789	323
which	1789	324
they	1789	325
originated	1789	326
such	1789	327
being	1789	328
the	1789	329
impressions	1789	330
under	1789	331
which	1789	332
i	1789	333
have	1789	334
in	1789	335
obedience	1789	336
to	1789	337
the	1789	338
public	1789	339
summons	1789	340
repaired	1789	341
to	1789	342
the	1789	343
present	1789	344
station	1789	345
it	1789	346
would	1789	347
be	1789	348
peculiarly	1789	349
improper	1789	350
to	1789	351
omit	1789	352
in	1789	353
this	1789	354
first	1789	355
official	1789	356
act	1789	357
my	1789	358
fervent	1789	359
supplications	1789	360
to	1789	361
that	1789	362
almighty	1789	363
being	1789	364
who	1789	365
rules	1789	366
over	1789	367
the	1789	368
universe	1789	369
who	1789	370
presides	1789	371
in	1789	372
the	1789	373
councils	1789	374
of	1789	375
nations	1789	376
and	1789	377
whose	1789	378
providential	1789	379
aids	1789	380
can	1789	381
supply	1789	382
every	1789	383
human	1789	384
defect	1789	385
that	1789	386
his	1789	387
benediction	1789	388
may	1789	389
consecrate	1789	390
to	1789	391
the	1789	392
liberties	1789	393
and	1789	394
happiness	1789	395
of	1789	396
the	1789	397
people	1789	398
of	1789	399
the	1789	400
united	1789	401
states	1789	402
a	1789	403
government	1789	404
instituted	1789	405
by	1789	406
themselves	1789	407
for	1789	408
these	1789	409
essential	1789	410
purposes	1789	411
and	1789	412
may	1789	413
enable	1789	414
every	1789	415
instrument	1789	416
employed	1789	417
in	1789	418
its	1789	419
administration	1789	420
to	1789	421
execute	1789	422
with	1789	423
success	1789	424
the	1789	425
functions	1789	426
allotted	1789	427
to	1789	428
his	1789	429
charge	1789	430
in	1789	431
tendering	1789	432
this	1789	433
homage	1789	434
to	1789	435
the	1789	436
great	1789	437
author	1789	438
of	1789	439
every	1789	440
public	1789	441
and	1789	442
private	1789	443
good	1789	444
i	1789	445
assure	1789	446
myself	1789	447
that	1789	448
it	1789	449
expresses	1789	450
your	1789	451
sentiments	1789	452
not	1789	453
less	1789	454
than	1789	455
my	1789	456
own	1789	457
nor	1789	458
those	1789	459
of	1789	460
my	1789	461
fellow	1789	462
citizens	1789	463
at	1789	464
large	1789	465
less	1789	466
than	1789	467
either	1789	468
no	1789	469
people	1789	470
can	1789	471
be	1789	472
bound	1789	473
to	1789	474
acknowledge	1789	475
and	1789	476
adore	1789	477
the	1789	478
invisible	1789	479
hand	1789	480
which	1789	481
conducts	1789	482
the	1789	483
affairs	1789	484
of	1789	485
men	1789	486
more	1789	487
than	1789	488
those	1789	489
of	1789	490
the	1789	491
united	1789	492
states	1789	493
every	1789	494
step	1789	495
by	1789	496
which	1789	497
they	1789	498
have	1789	499
advanced	1789	500
to	1789	501
the	1789	502
character	1789	503
of	1789	504
an	1789	505
independent	1789	506
nation	1789	507
seems	1789	508
to	1789	509
have	1789	510
been	1789	511
distinguished	1789	512
by	1789	513
some	1789	514
token	1789	515
of	1789	516
providential	1789	517
agency	1789	518
and	1789	519
in	1789	520
the	1789	521
important	1789	522
revolution	1789	523
just	1789	524
accomplished	1789	525
in	1789	526
the	1789	527
system	1789	528
of	1789	529
their	1789	530
united	1789	531
government	1789	532
the	1789	533
tranquil	1789	534
deliberations	1789	535
and	1789	536
voluntary	1789	537
consent	1789	538
of	1789	539
so	1789	540
many	1789	541
distinct	1789	542
communities	1789	543
from	1789	544
which	1789	545
the	1789	546
event	1789	547
has	1789	548
resulted	1789	549
cannot	1789	550
be	1789	551
compared	1789	552
with	1789	553
the	1789	554
means	1789	555
by	1789	556
which	1789	557
most	1789	558
governments	1789	559
have	1789	560
been	1789	561
established	1789	562
without	1789	563
some	1789	564
return	1789	565
of	1789	566
pious	1789	567
gratitude	1789	568
along	1789	569
with	1789	570
an	1789	571
humble	1789	572
anticipation	1789	573
of	1789	574
the	1789	575
future	1789	576
blessings	1789	577
which	1789	578
the	1789	579
past	1789	580
seem	1789	581
to	1789	582
presage	1789	583
these	1789	584
reflections	1789	585
arising	1789	586
out	1789	587
of	1789	588
the	1789	589
present	1789	590
crisis	1789	591
have	1789	592
forced	1789	593
themselves	1789	594
too	1789	595
strongly	1789	596
on	1789	597
my	1789	598
mind	1789	599
to	1789	600
be	1789	601
suppressed	1789	602
you	1789	603
will	1789	604
join	1789	605
with	1789	606
me	1789	607
i	1789	608
trust	1789	609
in	1789	610
thinking	1789	611
that	1789	612
there	1789	613
are	1789	614
none	1789	615
under	1789	616
the	1789	617
influence	1789	618
of	1789	619
which	1789	620
the	1789	621
proceedings	1789	622
of	1789	623
a	1789	624
new	1789	625
and	1789	626
free	1789	627
government	1789	628
can	1789	629
more	1789	630
auspiciously	1789	631
commence	1789	632
by	1789	633
the	1789	634
article	1789	635
establishing	1789	636
the	1789	637
executive	1789	638
department	1789	639
it	1789	640
is	1789	641
made	1789	642
the	1789	643
duty	1789	644
of	1789	645
the	1789	646
president	1789	647
to	1789	648
recommend	1789	649
to	1789	650
your	1789	651
consideration	1789	652
such	1789	653
measures	1789	654
as	1789	655
he	1789	656
shall	1789	657
judge	1789	658
necessary	1789	659
and	1789	660
expedient	1789	661
the	1789	662
circumstances	1789	663
under	1789	664
which	1789	665
i	1789	666
now	1789	667
meet	1789	668
you	1789	669
will	1789	670
acquit	1789	671
me	1789	672
from	1789	673
entering	1789	674
into	1789	675
that	1789	676
subject	1789	677
further	1789	678
than	1789	679
to	1789	680
refer	1789	681
to	1789	682
the	1789	683
great	1789	684
constitutional	1789	685
charter	1789	686
under	1789	687
which	1789	688
you	1789	689
are	1789	690
assembled	1789	691
and	1789	692
which	1789	693
in	1789	694
defining	1789	695
your	1789	696
powers	1789	697
designates	1789	698
the	1789	699
objects	1789	700
to	1789	701
which	1789	702
your	1789	703
attention	1789	704
is	1789	705
to	1789	706
be	1789	707
given	1789	708
it	1789	709
will	1789	710
be	1789	711
more	1789	712
consistent	1789	713
with	1789	714
those	1789	715
circumstances	1789	716
and	1789	717
far	1789	718
more	1789	719
congenial	1789	720
with	1789	721
the	1789	722
feelings	1789	723
which	1789	724
actuate	1789	725
me	1789	726
to	1789	727
substitute	1789	728
in	1789	729
place	1789	730
of	1789	731
a	1789	732
recommendation	1789	733
of	1789	734
particular	1789	735
measures	1789	736
the	1789	737
tribute	1789	738
that	1789	739
is	1789	740
due	1789	741
to	1789	742
the	1789	743
talents	1789	744
the	1789	745
rectitude	1789	746
and	1789	747
the	1789	748
patriotism	1789	749
which	1789	750
adorn	1789	751
the	1789	752
characters	1789	753
selected	1789	754
to	1789	755
devise	1789	756
and	1789	757
adopt	1789	758
them	1789	759
in	1789	760
these	1789	761
honorable	1789	762
qualifications	1789	763
i	1789	764
behold	1789	765
the	1789	766
surest	1789	767
pledges	1789	768
that	1789	769
as	1789	770
on	1789	771
one	1789	772
side	1789	773
no	1789	774
local	1789	775
prejudices	1789	776
or	1789	777
attachments	1789	778
no	1789	779
separate	1789	780
views	1789	781
nor	1789	782
party	1789	783
animosities	1789	784
will	1789	785
misdirect	1789	786
the	1789	787
comprehensive	1789	788
and	1789	789
equal	1789	790
eye	1789	791
which	1789	792
ought	1789	793
to	1789	794
watch	1789	795
over	1789	796
this	1789	797
great	1789	798
assemblage	1789	799
of	1789	800
communities	1789	801
and	1789	802
interests	1789	803
so	1789	804
on	1789	805
another	1789	806
that	1789	807
the	1789	808
foundation	1789	809
of	1789	810
our	1789	811
national	1789	812
policy	1789	813
will	1789	814
be	1789	815
laid	1789	816
in	1789	817
the	1789	818
pure	1789	819
and	1789	820
immutable	1789	821
principles	1789	822
of	1789	823
private	1789	824
morality	1789	825
and	1789	826
the	1789	827
preeminence	1789	828
of	1789	829
free	1789	830
government	1789	831
be	1789	832
exemplified	1789	833
by	1789	834
all	1789	835
the	1789	836
attributes	1789	837
which	1789	838
can	1789	839
win	1789	840
the	1789	841
affections	1789	842
of	1789	843
its	1789	844
citizens	1789	845
and	1789	846
command	1789	847
the	1789	848
respect	1789	849
of	1789	850
the	1789	851
world	1789	852
i	1789	853
dwell	1789	854
on	1789	855
this	1789	856
prospect	1789	857
with	1789	858
every	1789	859
satisfaction	1789	860
which	1789	861
an	1789	862
ardent	1789	863
love	1789	864
for	1789	865
my	1789	866
country	1789	867
can	1789	868
inspire	1789	869
since	1789	870
there	1789	871
is	1789	872
no	1789	873
truth	1789	874
more	1789	875
thoroughly	1789	876
established	1789	877
than	1789	878
that	1789	879
there	1789	880
exists	1789	881
in	1789	882
the	1789	883
economy	1789	884
and	1789	885
course	1789	886
of	1789	887
nature	1789	888
an	1789	889
indissoluble	1789	890
union	1789	891
between	1789	892
virtue	1789	893
and	1789	894
happiness	1789	895
between	1789	896
duty	1789	897
and	1789	898
advantage	1789	899
between	1789	900
the	1789	901
genuine	1789	902
maxims	1789	903
of	1789	904
an	1789	905
honest	1789	906
and	1789	907
magnanimous	1789	908
policy	1789	909
and	1789	910
the	1789	911
solid	1789	912
rewards	1789	913
of	1789	914
public	1789	915
prosperity	1789	916
and	1789	917
felicity	1789	918
since	1789	919
we	1789	920
ought	1789	921
to	1789	922
be	1789	923
no	1789	924
less	1789	925
persuaded	1789	926
that	1789	927
the	1789	928
propitious	1789	929
smiles	1789	930
of	1789	931
heaven	1789	932
can	1789	933
never	1789	934
be	1789	935
expected	1789	936
on	1789	937
a	1789	938
nation	1789	939
that	1789	940
disregards	1789	941
the	1789	942
eternal	1789	943
rules	1789	944
of	1789	945
order	1789	946
and	1789	947
right	1789	948
which	1789	949
heaven	1789	950
itself	1789	951
has	1789	952
ordained	1789	953
and	1789	954
since	1789	955
the	1789	956
preservation	1789	957
of	1789	958
the	1789	959
sacred	1789	960
fire	1789	961
of	1789	962
liberty	1789	963
and	1789	964
the	1789	965
destiny	1789	966
of	1789	967
the	1789	968
republican	1789	969
model	1789	970
of	1789	971
government	1789	972
are	1789	973
justly	1789	974
considered	1789	975
perhaps	1789	976
as	1789	977
deeply	1789	978
as	1789	979
finally	1789	980
staked	1789	981
on	1789	982
the	1789	983
experiment	1789	984
entrusted	1789	985
to	1789	986
the	1789	987
hands	1789	988
of	1789	989
the	1789	990
american	1789	991
people	1789	992
besides	1789	993
the	1789	994
ordinary	1789	995
objects	1789	996
submitted	1789	997
to	1789	998
your	1789	999
care	1789	1000
it	1789	1001
will	1789	1002
remain	1789	1003
with	1789	1004
your	1789	1005
judgment	1789	1006
to	1789	1007
decide	1789	1008
how	1789	1009
far	1789	1010
an	1789	1011
exercise	1789	1012
of	1789	1013
the	1789	1014
occasional	1789	1015
power	1789	1016
delegated	1789	1017
by	1789	1018
the	1789	1019
fifth	1789	1020
article	1789	1021
of	1789	1022
the	1789	1023
constitution	1789	1024
is	1789	1025
rendered	1789	1026
expedient	1789	1027
at	1789	1028
the	1789	1029
present	1789	1030
juncture	1789	1031
by	1789	1032
the	1789	1033
nature	1789	1034
of	1789	1035
objections	1789	1036
which	1789	1037
have	1789	1038
been	1789	1039
urged	1789	1040
against	1789	1041
the	1789	1042
system	1789	1043
or	1789	1044
by	1789	1045
the	1789	1046
degree	1789	1047
of	1789	1048
inquietude	1789	1049
which	1789	1050
has	1789	1051
given	1789	1052
birth	1789	1053
to	1789	1054
them	1789	1055
instead	1789	1056
of	1789	1057
undertaking	1789	1058
particular	1789	1059
recommendations	1789	1060
on	1789	1061
this	1789	1062
subject	1789	1063
in	1789	1064
which	1789	1065
i	1789	1066
could	1789	1067
be	1789	1068
guided	1789	1069
by	1789	1070
no	1789	1071
lights	1789	1072
derived	1789	1073
from	1789	1074
official	1789	1075
opportunities	1789	1076
i	1789	1077
shall	1789	1078
again	1789	1079
give	1789	1080
way	1789	1081
to	1789	1082
my	1789	1083
entire	1789	1084
confidence	1789	1085
in	1789	1086
your	1789	1087
discernment	1789	1088
and	1789	1089
pursuit	1789	1090
of	1789	1091
the	1789	1092
public	1789	1093
good	1789	1094
for	1789	1095
i	1789	1096
assure	1789	1097
myself	1789	1098
that	1789	1099
whilst	1789	1100
you	1789	1101
carefully	1789	1102
avoid	1789	1103
every	1789	1104
alteration	1789	1105
which	1789	1106
might	1789	1107
endanger	1789	1108
the	1789	1109
benefits	1789	1110
of	1789	1111
an	1789	1112
united	1789	1113
and	1789	1114
effective	1789	1115
government	1789	1116
or	1789	1117
which	1789	1118
ought	1789	1119
to	1789	1120
await	1789	1121
the	1789	1122
future	1789	1123
lessons	1789	1124
of	1789	1125
experience	1789	1126
a	1789	1127
reverence	1789	1128
for	1789	1129
the	1789	1130
characteristic	1789	1131
rights	1789	1132
of	1789	1133
freemen	1789	1134
and	1789	1135
a	1789	1136
regard	1789	1137
for	1789	1138
the	1789	1139
public	1789	1140
harmony	1789	1141
will	1789	1142
sufficiently	1789	1143
influence	1789	1144
your	1789	1145
deliberations	1789	1146
on	1789	1147
the	1789	1148
question	1789	1149
how	1789	1150
far	1789	1151
the	1789	1152
former	1789	1153
can	1789	1154
be	1789	1155
impregnably	1789	1156
fortified	1789	1157
or	1789	1158
the	1789	1159
latter	1789	1160
be	1789	1161
safely	1789	1162
and	1789	1163
advantageously	1789	1164
promoted	1789	1165
to	1789	1166
the	1789	1167
foregoing	1789	1168
observations	1789	1169
i	1789	1170
have	1789	1171
one	1789	1172
to	1789	1173
add	1789	1174
which	1789	1175
will	1789	1176
be	1789	1177
most	1789	1178
properly	1789	1179
addressed	1789	1180
to	1789	1181
the	1789	1182
house	1789	1183
of	1789	1184
representatives	1789	1185
it	1789	1186
concerns	1789	1187
myself	1789	1188
and	1789	1189
will	1789	1190
therefore	1789	1191
be	1789	1192
as	1789	1193
brief	1789	1194
as	1789	1195
possible	1789	1196
when	1789	1197
i	1789	1198
was	1789	1199
first	1789	1200
honored	1789	1201
with	1789	1202
a	1789	1203
call	1789	1204
into	1789	1205
the	1789	1206
service	1789	1207
of	1789	1208
my	1789	1209
country	1789	1210
then	1789	1211
on	1789	1212
the	1789	1213
eve	1789	1214
of	1789	1215
an	1789	1216
arduous	1789	1217
struggle	1789	1218
for	1789	1219
its	1789	1220
liberties	1789	1221
the	1789	1222
light	1789	1223
in	1789	1224
which	1789	1225
i	1789	1226
contemplated	1789	1227
my	1789	1228
duty	1789	1229
required	1789	1230
that	1789	1231
i	1789	1232
should	1789	1233
renounce	1789	1234
every	1789	1235
pecuniary	1789	1236
compensation	1789	1237
from	1789	1238
this	1789	1239
resolution	1789	1240
i	1789	1241
have	1789	1242
in	1789	1243
no	1789	1244
instance	1789	1245
departed	1789	1246
and	1789	1247
being	1789	1248
still	1789	1249
under	1789	1250
the	1789	1251
impressions	1789	1252
which	1789	1253
produced	1789	1254
it	1789	1255
i	1789	1256
must	1789	1257
decline	1789	1258
as	1789	1259
inapplicable	1789	1260
to	1789	1261
myself	1789	1262
any	1789	1263
share	1789	1264
in	1789	1265
the	1789	1266
personal	1789	1267
emoluments	1789	1268
which	1789	1269
may	1789	1270
be	1789	1271
indispensably	1789	1272
included	1789	1273
in	1789	1274
a	1789	1275
permanent	1789	1276
provision	1789	1277
for	1789	1278
the	1789	1279
executive	1789	1280
department	1789	1281
and	1789	1282
must	1789	1283
accordingly	1789	1284
pray	1789	1285
that	1789	1286
the	1789	1287
pecuniary	1789	1288
estimates	1789	1289
for	1789	1290
the	1789	1291
station	1789	1292
in	1789	1293
which	1789	1294
i	1789	1295
am	1789	1296
placed	1789	1297
may	1789	1298
during	1789	1299
my	1789	1300
continuance	1789	1301
in	1789	1302
it	1789	1303
be	1789	1304
limited	1789	1305
to	1789	1306
such	1789	1307
actual	1789	1308
expenditures	1789	1309
as	1789	1310
the	1789	1311
public	1789	1312
good	1789	1313
may	1789	1314
be	1789	1315
thought	1789	1316
to	1789	1317
require	1789	1318
having	1789	1319
thus	1789	1320
imparted	1789	1321
to	1789	1322
you	1789	1323
my	1789	1324
sentiments	1789	1325
as	1789	1326
they	1789	1327
have	1789	1328
been	1789	1329
awakened	1789	1330
by	1789	1331
the	1789	1332
occasion	1789	1333
which	1789	1334
brings	1789	1335
us	1789	1336
together	1789	1337
i	1789	1338
shall	1789	1339
take	1789	1340
my	1789	1341
present	1789	1342
leave	1789	1343
but	1789	1344
not	1789	1345
without	1789	1346
resorting	1789	1347
once	1789	1348
more	1789	1349
to	1789	1350
the	1789	1351
benign	1789	1352
parent	1789	1353
of	1789	1354
the	1789	1355
human	1789	1356
race	1789	1357
in	1789	1358
humble	1789	1359
supplication	1789	1360
that	1789	1361
since	1789	1362
he	1789	1363
has	1789	1364
been	1789	1365
pleased	1789	1366
to	1789	1367
favor	1789	1368
the	1789	1369
american	1789	1370
people	1789	1371
with	1789	1372
opportunities	1789	1373
for	1789	1374
deliberating	1789	1375
in	1789	1376
perfect	1789	1377
tranquillity	1789	1378
and	1789	1379
dispositions	1789	1380
for	1789	1381
deciding	1789	1382
with	1789	1383
unparalleled	1789	1384
unanimity	1789	1385
on	1789	1386
a	1789	1387
form	1789	1388
of	1789	1389
government	1789	1390
for	1789	1391
the	1789	1392
security	1789	1393
of	1789	1394
their	1789	1395
union	1789	1396
and	1789	1397
the	1789	1398
advancement	1789	1399
of	1789	1400
their	1789	1401
happiness	1789	1402
so	1789	1403
his	1789	1404
divine	1789	1405
blessing	1789	1406
may	1789	1407
be	1789	1408
equally	1789	1409
conspicuous	1789	1410
in	1789	1411
the	1789	1412
enlarged	1789	1413
views	1789	1414
the	1789	1415
temperate	1789	1416
consultations	1789	1417
and	1789	1418
the	1789	1419
wise	1789	1420
measures	1789	1421
on	1789	1422
which	1789	1423
the	1789	1424
success	1789	1425
of	1789	1426
this	1789	1427
government	1789	1428
must	1789	1429
depend	1789	1430
fellow	1793	0
citizens	1793	1
i	1793	2
am	1793	3
again	1793	4
called	1793	5
upon	1793	6
by	1793	7
the	1793	8
voice	1793	9
of	1793	10
my	1793	11
country	1793	12
to	1793	13
execute	1793	14
the	1793	15
functions	1793	16
of	1793	17
its	1793	18
chief	1793	19
magistrate	1793	20
when	1793	21
the	1793	22
occasion	1793	23
proper	1793	24
for	1793	25
it	1793	26
shall	1793	27
arrive	1793	28
i	1793	29
shall	1793	30
endeavor	1793	31
to	1793	32
express	1793	33
the	1793	34
high	1793	35
sense	1793	36
i	1793	37
entertain	1793	38
of	1793	39
this	1793	40
distinguished	1793	41
honor	1793	42
and	1793	43
of	1793	44
the	1793	45
confidence	1793	46
which	1793	47
has	1793	48
been	1793	49
reposed	1793	50
in	1793	51
me	1793	52
by	1793	53
the	1793	54
people	1793	55
of	1793	56
united	1793	57
america	1793	58
previous	1793	59
to	1793	60
the	1793	61
execution	1793	62
of	1793	63
any	1793	64
official	1793	65
act	1793	66
of	1793	67
the	1793	68
president	1793	69
the	1793	70
constitution	1793	71
requires	1793	72
an	1793	73
oath	1793	74
of	1793	75
office	1793	76
this	1793	77
oath	1793	78
i	1793	79
am	1793	80
now	1793	81
about	1793	82
to	1793	83
take	1793	84
and	1793	85
in	1793	86
your	1793	87
presence	1793	88
that	1793	89
if	1793	90
it	1793	91
shall	1793	92
be	1793	93
found	1793	94
during	1793	95
my	1793	96
administration	1793	97
of	1793	98
the	1793	99
government	1793	100
i	1793	101
have	1793	102
in	1793	103
any	1793	104
instance	1793	105
violated	1793	106
willingly	1793	107
or	1793	108
knowingly	1793	109
the	1793	110
injunctions	1793	111
thereof	1793	112
i	1793	113
may	1793	114
besides	1793	115
incurring	1793	116
constitutional	1793	117
punishment	1793	118
be	1793	119
subject	1793	120
to	1793	121
the	1793	122
upbraidings	1793	123
of	1793	124
all	1793	125
who	1793	126
are	1793	127
now	1793	128
witnesses	1793	129
of	1793	130
the	1793	131
present	1793	132
solemn	1793	133
ceremony	1793	134
when	1797	0
it	1797	1
was	1797	2
first	1797	3
perceived	1797	4
in	1797	5
early	1797	6
times	1797	7
that	1797	8
no	1797	9
middle	1797	10
course	1797	11
for	1797	12
america	1797	13
remained	1797	14
between	1797	15
unlimited	1797	16
submission	1797	17
to	1797	18
a	1797	19
foreign	1797	20
legislature	1797	21
and	1797	22
a	1797	23
total	1797	24
independence	1797	25
of	1797	26
its	1797	27
claims	1797	28
men	1797	29
of	1797	30
reflection	1797	31
were	1797	32
less	1797	33
apprehensive	1797	34
of	1797	35
danger	1797	36
from	1797	37
the	1797	38
formidable	1797	39
power	1797	40
of	1797	41
fleets	1797	42
and	1797	43
armies	1797	44
they	1797	45
must	1797	46
determine	1797	47
to	1797	48
resist	1797	49
than	1797	50
from	1797	51
those	1797	52
contests	1797	53
and	1797	54
dissensions	1797	55
which	1797	56
would	1797	57
certainly	1797	58
arise	1797	59
concerning	1797	60
the	1797	61
forms	1797	62
of	1797	63
government	1797	64
to	1797	65
be	1797	66
instituted	1797	67
over	1797	68
the	1797	69
whole	1797	70
and	1797	71
over	1797	72
the	1797	73
parts	1797	74
of	1797	75
this	1797	76
extensive	1797	77
country	1797	78
relying	1797	79
however	1797	80
on	1797	81
the	1797	82
purity	1797	83
of	1797	84
their	1797	85
intentions	1797	86
the	1797	87
justice	1797	88
of	1797	89
their	1797	90
cause	1797	91
and	1797	92
the	1797	93
integrity	1797	94
and	1797	95
intelligence	1797	96
of	1797	97
the	1797	98
people	1797	99
under	1797	100
an	1797	101
overruling	1797	102
providence	1797	103
which	1797	104
had	1797	105
so	1797	106
signally	1797	107
protected	1797	108
this	1797	109
country	1797	110
from	1797	111
the	1797	112
first	1797	113
the	1797	114
representatives	1797	115
of	1797	116
this	1797	117
nation	1797	118
then	1797	119
consisting	1797	120
of	1797	121
little	1797	122
more	1797	123
than	1797	124
half	1797	125
its	1797	126
present	1797	127
number	1797	128
not	1797	129
only	1797	130
broke	1797	131
to	1797	132
pieces	1797	133
the	1797	134
chains	1797	135
which	1797	136
were	1797	137
forging	1797	138
and	1797	139
the	1797	140
rod	1797	141
of	1797	142
iron	1797	143
that	1797	144
was	1797	145
lifted	1797	146
up	1797	147
but	1797	148
frankly	1797	149
cut	1797	150
asunder	1797	151
the	1797	152
ties	1797	153
which	1797	154
had	1797	155
bound	1797	156
them	1797	157
and	1797	158
launched	1797	159
into	1797	160
an	1797	161
ocean	1797	162
of	1797	163
uncertainty	1797	164
the	1797	165
zeal	1797	166
and	1797	167
ardor	1797	168
of	1797	169
the	1797	170
people	1797	171
during	1797	172
the	1797	173
revolutionary	1797	174
war	1797	175
supplying	1797	176
the	1797	177
place	1797	178
of	1797	179
government	1797	180
commanded	1797	181
a	1797	182
degree	1797	183
of	1797	184
order	1797	185
sufficient	1797	186
at	1797	187
least	1797	188
for	1797	189
the	1797	190
temporary	1797	191
preservation	1797	192
of	1797	193
society	1797	194
the	1797	195
confederation	1797	196
which	1797	197
was	1797	198
early	1797	199
felt	1797	200
to	1797	201
be	1797	202
necessary	1797	203
was	1797	204
prepared	1797	205
from	1797	206
the	1797	207
models	1797	208
of	1797	209
the	1797	210
batavian	1797	211
and	1797	212
helvetic	1797	213
confederacies	1797	214
the	1797	215
only	1797	216
examples	1797	217
which	1797	218
remain	1797	219
with	1797	220
any	1797	221
