token	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017
impregnable																																		1.0																								
impregnably	1.0																																																									
impress																																										1.0																
impressed									1.0			2.0	1.0		1.0		1.0								1.0		1.0																															
impresses													1.0																																													
impression						1.0																																																				
impressions	2.0						1.0																																																			
impressive																	1.0								1.0											1.0																						
impressively																											1.0																															
improper	1.0																																																									
improprieties					1.0																																																					
impropriety														1.0																																												
improve			1.0							1.0					1.0	1.0		1.0								1.0									1.0			1.0			1.0																	
improved								1.0					2.0	1.0														1.0																														
improvement				1.0	2.0			3.0	2.0	3.0	1.0							1.0					1.0	1.0	1.0			1.0			5.0								1.0		1.0																	
improvements			1.0			3.0			2.0	1.0	1.0																																															
improving					1.0																																									1.0												
improvised																															1.0																											
imprudent														1.0																																												
impulse																	1.0										1.0																															
impulses																																																					1.0					
impunity																	1.0		1.0								1.0																					1.0										
in	31.0	3.0	47.0	24.0	35.0	34.0	21.0	79.0	136.0	62.0	24.0	23.0	76.0	173.0	87.0	20.0	60.0	61.0	77.0	9.0	27.0	26.0	63.0	49.0	31.0	80.0	36.0	81.0	42.0	23.0	140.0	29.0	36.0	63.0	70.0	90.0	44.0	29.0	36.0	10.0	57.0	65.0	43.0	24.0	37.0	62.0	58.0	22.0	45.0	49.0	38.0	31.0	34.0	30.0	51.0	25.0	21.0	14.0
inability													1.0																		1.0																											
inaction																																							1.0																			
inadequacy						1.0																																																				
inadequate																		1.0										1.0	1.0												2.0																1.0	
inadmissible																	1.0		1.0																																							
inalienable																																									1.0	1.0								1.0								
inapplicable	1.0																																																									
inasmuch					1.0																																																					
inattention			1.0																							1.0																																
inaugural																				1.0											1.0								1.0										1.0									
inaugurate																																		1.0				1.0																			1.0	
inaugurated																							1.0					1.0																														
inauguration										1.0									1.0							1.0													1.0	1.0								2.0			1.0		1.0	1.0				
inborn																																																						1.0				
incalculable												1.0																																														
incapable								1.0																																																		
incapacities																										1.0																																
incapacity	1.0								1.0																																																	
incautiously															1.0																																											
incentive																											1.0																															
incentives																																																		1.0								
inches																																																	1.0									
incident	1.0							2.0							2.0											1.0	1.0							1.0																								
incidental										1.0					3.0																																											
incidents																	1.0									1.0																																
inclination	1.0		1.0																1.0																																							
inclining			1.0																																																							
include																											1.0				1.0					1.0																						
included	1.0												1.0	1.0																																												
including													1.0						1.0												1.0										1.0						1.0								1.0			
income					1.0																					1.0		2.0			1.0						2.0												1.0									
incomes																																						1.0																				
incoming																			1.0												5.0																											
incomparably																							1.0									1.0																										
incompatible											1.0				2.0											1.0																																
incompetence																																					1.0																					
incompetency																									1.0	1.0																																
incompetent											1.0																	1.0																														
inconceivable																																2.0																										
incongruity														2.0																																												
inconsiderable											1.0						1.0																																									
inconsiderate															1.0																1.0																											
inconsiderately																										1.0																																
inconsistencies							1.0																																																			
inconsistent																		1.0									1.0																															
inconvenient					1.0																								1.0																													
incorporated					1.0	1.0	1.0																													1.0																						
increase						1.0				1.0	1.0		2.0	5.0	1.0		1.0	1.0				1.0		1.0		2.0		5.0			7.0					2.0		2.0			2.0				1.0					4.0								
increased					2.0			2.0	1.0						3.0			1.0								2.0		1.0			2.0					1.0					1.0																	
increases																																				1.0																						
increasing			2.0		1.0				1.0			1.0			5.0		1.0									2.0			1.0		3.0		1.0			2.0					1.0											1.0						
increasingly																																				2.0																			1.0			
incredible																																													1.0													
incredibly													1.0																																													
inculcate					1.0							2.0																																														
inculcating				1.0																								1.0																														
incumbency																										1.0																																
incumbent									2.0																																																	
incumbents																								3.0																																		
incurred									1.0				1.0																																													
incurring		1.0													1.0																																											
indebted										1.0					2.0													1.0								1.0																						
indebtedness																					1.0													1.0																								
indecent																										1.0												1.0																				
indeed			1.0	3.0	1.0	1.0						1.0	3.0	7.0			1.0		1.0												1.0	1.0										1.0										1.0						
independence			2.0		1.0	1.0		1.0	1.0	2.0	2.0	1.0	1.0	4.0				1.0	1.0					1.0	1.0	2.0								1.0	7.0	3.0			1.0				1.0						2.0	2.0		1.0		1.0	3.0		1.0	
independent	1.0		1.0		1.0		1.0	2.0	1.0					2.0	7.0		1.0	3.0						1.0		1.0	2.0		2.0				1.0	1.0	4.0																							
independently									1.0																																																	
indian								1.0	2.0	1.0	1.0				1.0							2.0																																				
indians																					1.0				1.0		1.0																															
indicate																1.0											1.0																															
indicated																			1.0					1.0				1.0	2.0																													
indicates																																			1.0	2.0																						
indicating									1.0	1.0																	1.0																															
indication														1.0																																												
indications														2.0									1.0																																			
indicators																																																								1.0		
indicted																																					1.0																					
indies									1.0																																																	
indifference																																				1.0																				1.0		
indifferent																																	1.0															1.0										
indigent										1.0				1.0																																												
indignant														1.0																																												
indignantly												1.0																																														
indignation					1.0								1.0																																													
indignity																																																	1.0									
indirect																															1.0				1.0																							
indirectly												1.0							1.0																1.0																							
indiscriminate							1.0																																																			
indispensable								1.0							1.0	1.0		1.0											1.0													2.0					2.0						1.0					
indispensably	1.0																																																									
indissoluble	1.0																																																									
individual			1.0					1.0	1.0	2.0			4.0	6.0			1.0	2.0				2.0				1.0	1.0	1.0		2.0	1.0	2.0		4.0		2.0		3.0	1.0		3.0						3.0	2.0	3.0	2.0						1.0	2.0	
individualists																																						1.0																				
individuality																																				1.0																						
individually								1.0							1.0		1.0																									1.0																
individuals			1.0		2.0			2.0		1.0		1.0	1.0		2.0	1.0		1.0	1.0		1.0		1.0			1.0		1.0				2.0		1.0	1.0												1.0		2.0									
indivisible																																										1.0																
indo																																										1.0																
induce					1.0	1.0																															1.0																					
induced													1.0																		1.0																											
inducement								1.0																							1.0																											
induces											1.0																																															
inducing																																																								1.0		
induction										1.0																1.0								1.0			1.0																					
indulge						1.0				1.0																																																
indulged															1.0																																											
indulgence				1.0	1.0			1.0	1.0	2.0	1.0																																															
indulging						1.0																																																				
industrial																						1.0		1.0				1.0		2.0	6.0	3.0	3.0	5.0	1.0		2.0				3.0								1.0	1.0			2.0					
industrialism																																		1.0																								
industrialists																																																	1.0									
industrially																								1.0																	1.0																	
industries																					1.0	2.0	1.0		1.0	1.0		1.0	1.0		1.0	1.0	1.0			1.0													1.0								1.0	1.0
industrious																		1.0						1.0	1.0																																	
industry				3.0	2.0			3.0	1.0	1.0			1.0	1.0	5.0											1.0		2.0	1.0		1.0	1.0		3.0	1.0							1.0	2.0			1.0												2.0
ineffectual														1.0																																												
inefficiency																										1.0																																
inefficient																										1.0		1.0																														
inefficiently																																				1.0																						
inequality																																																				1.0						
inescapably																																																			1.0							
inessential																																			1.0																							
inestimable					1.0					1.0			1.0		1.0								1.0																																			
inevitability																																																							1.0			
inevitable								1.0					1.0	1.0										1.0				2.0	1.0									1.0			1.0								1.0							1.0		
inevitably												1.0																		1.0			1.0			1.0																						
inexcusable																																1.0																										
inexhaustible									1.0				1.0																												1.0																	
inexorable																											1.0							1.0																								
inexpedient														1.0																																												
inexpressibly						1.0																																																				
inextricably																																																									1.0	
infancy					1.0						1.0	1.0		1.0	2.0																																											
infant									1.0																																								1.0									
infect			1.0																																																							
inference					1.0									1.0																																												
inferior	1.0													1.0																												1.0						1.0										
infinite				1.0																																			1.0																			
infinitely																																				1.0																						
infirm																																																		2.0								
infirmity										1.0																	1.0																															
inflated																																														1.0	1.0											
inflation																																																	1.0	2.0								
inflations																																		1.0															1.0									
inflexible			1.0										1.0																																													
inflict														1.0	1.0			1.0																	1.0							1.0								1.0								
inflicted								1.0														1.0																																				
influence	2.0		2.0		2.0	1.0		1.0	1.0				2.0	9.0	1.0		4.0	2.0			1.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0			4.0		3.0	2.0	2.0	2.0					1.0						1.0		1.0						2.0			
influenced																	1.0										1.0																															
influences														2.0								1.0				1.0							1.0		1.0	1.0																						
influential																										1.0					1.0																											
inform																																							1.0																			
information			1.0	1.0		1.0								1.0		1.0													1.0		2.0							1.0			1.0												2.0					
informed														1.0		1.0										1.0		1.0											1.0																			
infraction															1.0																																											
infrastructure																																																										1.0
infringed							1.0																1.0																																			
infuriated				1.0																																																						
infused																																																				1.0						1.0
infusing								1.0																																																		
ingenuity																		1.0																																								
inhabit																			1.0																																					1.0		
inhabitant																		1.0																																								
inhabitants					1.0			1.0		1.0														1.0					5.0																										1.0			
inherent							1.0							1.0			1.0	1.0																																								
inherently																																		1.0																								
inherit																																																				1.0						
inheritance										1.0							1.0	1.0						2.0							1.0			1.0																								
inheritances																																				1.0																						
inherited																	1.0																	1.0			1.0																					
inheriting	1.0																																																									
inhospitable																																																1.0										
inimical																																		1.0																								
initiate																																		1.0																								
initiated																															1.0															1.0												
initiative																												1.0		1.0						1.0			1.0		1.0	1.0															2.0	
initiatives																																															2.0											
injunction			1.0																												1.0																											
injunctions		1.0								1.0																					2.0																											
injure									1.0										1.0														1.0																									
injured																															1.0															1.0												
injuries			1.0						1.0		1.0		1.0					1.0													1.0		1.0																									
injuring				1.0					1.0																	1.0																																
injurious					1.0				1.0				2.0	1.0				1.0								1.0																																
injuriously																																			1.0																							
injury								2.0		1.0				4.0	1.0			1.0										1.0			3.0																											
injustice					1.0	1.0		1.0		1.0				1.0	1.0												1.0				1.0				1.0			2.0							1.0			1.0										
inland								1.0	2.0																			1.0																														
inlets									1.0																																																	
innate																																						1.0																				
inner																																																1.0										1.0
innocence			1.0																																																							
innocents																																																								1.0		
innovation					1.0																																																1.0					
innumerable													1.0																																													
inordinate																								1.0			1.0																															
inquietude	1.0																																																									
inquire																										1.0									1.0																							
inquiry			1.0												1.0											2.0																																
inquisition																																			1.0																							
insatiable														1.0																																												
inscribes											1.0																																															
insensible														1.0																																												
inseparable					1.0		1.0		1.0	1.0			2.0										1.0							1.0				2.0	1.0																							
inside																																												1.0						1.0								
insidious																											1.0									1.0																						
insight																																1.0																										
insignificance																		2.0					1.0																																			
insignificant																																																						1.0				
insinuation																																										1.0																
insist																									1.0	2.0	1.0	1.0			1.0		1.0			1.0		1.0																				
insisted														1.0																																												
insistence																										1.0											2.0																				1.0	
insistent																														1.0																												
insisting																												1.0																														
insists																																		1.0																								
insofar																															1.0																											
insolent																														1.0																												
inspection																			1.0																									1.0														
inspiration																								1.0	1.0	1.0		1.0						3.0																								
inspirations																								1.0										1.0																								
inspire	1.0			1.0								1.0									1.0															1.0							1.0		1.0									1.0				
inspired			1.0													1.0		1.0																2.0							1.0	1.0																
inspires					2.0						1.0																								1.0							1.0				1.0												
inspiring														1.0														1.0	1.0					2.0																								
installed																																																		1.0								
instance	1.0	1.0							1.0				3.0	2.0	1.0				2.0				1.0								1.0			1.0																								
instances	1.0								3.0				1.0	3.0				1.0													1.0																											
instant																		1.0	1.0															1.0																								
instantaneously																																																				1.0						
instantly																		1.0																																								
instead	1.0				1.0			1.0											1.0						1.0		1.0		1.0									1.0						2.0		2.0		1.0		1.0		1.0	2.0	1.0	2.0	1.0		
instinct																															1.0							1.0																				
instinctively																																						1.0																				
instituted	1.0		1.0							3.0					1.0																1.0																											
institution			1.0		1.0								1.0		1.0		1.0	1.0	1.0							3.0		1.0																														
institutions			1.0			1.0	1.0	2.0	1.0			1.0	16.0	10.0	9.0	1.0	2.0	2.0	3.0				1.0	2.0	1.0	1.0	4.0	4.0	2.0		1.0				1.0	4.0			1.0			1.0													3.0		1.0	
instruct																																							1.0																			
instructed																																				1.0																						
instruction				1.0					1.0		1.0						2.0									1.0										1.0																						
instructions																													2.0																													
instructive								1.0		1.0																																																
instructors					1.0																																																					
instrument	1.0							1.0	1.0	1.0	1.0		1.0	9.0	3.0	1.0			2.0												1.0	2.0			2.0	2.0	2.0	2.0		1.0																		
instrumental				1.0					1.0									1.0																																								
instrumentalities																								1.0		1.0									1.0	3.0																						
instrumentality														1.0									1.0				1.0				1.0	1.0				2.0																						
instruments							1.0	1.0						1.0																								1.0						2.0												1.0		
insufficient																															1.0																											
insult									1.0																																																	
insuperable																											1.0																															
insurance																																																							1.0			
insure			1.0							1.0	1.0			1.0		1.0					1.0							1.0																		1.0												
insurgent																				1.0																																						
insurgents																				1.0									1.0																													
insuring																												1.0	1.0																													
insurmountable													1.0																																													
insurrection			1.0																										1.0																													
insurrectional							1.0																																																			
insurrectionary																			1.0																																							
intact																															1.0																											
intangible														1.0																																												
integrity			3.0							1.0	1.0	1.0				1.0	3.0						1.0		1.0	1.0	1.0	2.0	1.0						1.0	4.0			1.0																1.0			
intellect													1.0																																													
intellects																	1.0																																									
intellectual			1.0																				1.0								1.0										1.0		1.0								1.0							
intelligence			1.0			1.0		1.0	1.0		1.0		3.0	1.0		1.0			1.0				1.0	2.0						1.0				1.0	2.0																				1.0			
intelligences			1.0																																																							
intelligent							1.0	1.0									1.0							1.0	1.0	2.0		2.0			2.0			1.0																								
intelligible													1.0																																													
intend																	1.0																																							1.0		
intended					1.0				1.0				1.0	6.0	1.0				1.0												1.0																		1.0	1.0								
intends									1.0																						1.0													1.0														
intense																														1.0																												
intensely																																			2.0																							
intensity																																										1.0																
intent																															1.0		1.0	1.0																								
intention			1.0											2.0					1.0						1.0																								3.0									
intentional				1.0																																																						
intentioned																																																		1.0								
intentions			1.0			1.0				1.0		2.0		1.0																					1.0																							
intercourse				1.0	2.0	1.0		1.0		2.0			3.0	3.0	4.0		2.0	1.0	3.0							1.0									1.0																							
interdependence																																					2.0					1.0																
interdependent																																		1.0																								
interest			4.0		4.0	1.0		5.0	2.0	1.0		1.0	4.0	4.0	2.0	2.0	2.0			3.0	3.0	1.0	2.0	2.0	1.0	7.0		1.0			6.0		4.0	2.0		1.0		3.0			1.0				1.0				2.0					2.0	1.0	1.0		
interested					1.0			1.0															1.0			1.0							1.0																									
interesting			1.0					1.0																																																		
interests	1.0				4.0	2.0		5.0	4.0	6.0	3.0	1.0	4.0	10.0	14.0	4.0	3.0	2.0	1.0			1.0	7.0	3.0	7.0	2.0	5.0	6.0	1.0		5.0	1.0	1.0		2.0													1.0				1.0	2.0	2.0	1.0	1.0	1.0	1.0
interfere														1.0	1.0		1.0	2.0	2.0					1.0							2.0				1.0																							
interfered									1.0																						1.0																											
interference						1.0							1.0	3.0			1.0	1.0								2.0	1.0	1.0						1.0																1.0								
interfering									1.0					1.0																																												
interior			1.0					2.0	1.0	1.0									1.0					1.0																																		
interlocked																																				1.0																						
interlude																																															1.0											
intermission																		1.0																																								
internal			1.0		1.0	1.0			5.0	4.0	1.0	1.0	2.0				1.0					1.0						2.0									1.0																					
internally								1.0																																																		
international																1.0	1.0						1.0			1.0		2.0	2.0		6.0			4.0	4.0	2.0	2.0				5.0		2.0					1.0				1.0						
internationality																																		1.0																								
internet																																																					1.0					
interoceanic																								1.0																																		
interpose																	1.0																																									
interposing																					1.0																																					
interpret																								1.0								2.0																										
interpretation									1.0							1.0																		1.0																								
interpreted														1.0																																												
interpreters																																1.0																										
interrupted														2.0																																												
interruptions	1.0																																																									
intersecting								1.0																																																		
interstate																															11.0																											
interval																															1.0																											
intervals																			1.0																			1.0																				
intervene																											1.0																															
intervened									1.0																																																	
intervening																																			1.0																							
intervention																													2.0																				1.0									
intimacy																																		1.0																								
intimate														2.0																		2.0																										
intimately								1.0															1.0																																			
intimidate																																																1.0										
into	3.0		2.0	1.0	1.0	1.0	6.0	7.0	8.0	3.0	1.0	2.0	2.0	6.0	2.0		2.0	6.0	3.0		1.0	2.0	2.0			5.0		3.0	1.0	1.0	6.0	4.0	2.0	5.0	3.0	3.0	2.0	3.0	4.0		3.0			1.0	1.0	3.0			2.0	2.0	3.0	1.0	3.0	1.0			4.0	1.0
intolerable																																	1.0																									
intolerance				2.0																							1.0																								1.0							
intolerant														2.0																						1.0																						
intrenched																													1.0																													
intricacies																																						1.0																				
intricate																															1.0			1.0		1.0																						
intrigue			2.0																					1.0																												1.0						
intrigues						1.0								1.0																																												
intrinsic														1.0																																												
intrinsically																	1.0																																									
introduced						1.0								3.0					1.0																																							
introduction											1.0																																															
intrusion																									1.0																								1.0									
intrusions					1.0																																																					
intrust														1.0																																												
intrusted								1.0					1.0	2.0	2.0	1.0								2.0					1.0										1.0																			
intuitions																																		1.0																								
intuitive																																			1.0																							
inure																																		1.0																								
inured																										1.0																																
invade						1.0																																																				
invaded									1.0																												1.0																					
invader																		1.0																																								
invading																								1.0																																		
invaluable												1.0																																														
invariably									1.0	1.0																				1.0				1.0														1.0										
invasion								4.0	2.0				1.0					3.0	2.0												2.0																											
invasions				1.0				2.0										1.0																																								
invective																																												1.0														
invent																																																			1.0							
invented																															1.0																						1.0					
invention										1.0																										1.0																						
inventions															1.0																																			1.0								
inventive													1.0																																											1.0		
inventory																																																	1.0									
invest																																																				1.0						
invested														1.0	1.0										1.0	1.0	1.0				1.0										1.0																	
investigate			1.0																																																							
investigation														2.0														1.0			1.0					3.0																						
investigations																															1.0																											
investing																																																									1.0	
investment																															1.0										1.0									1.0		1.0						
investments																										1.0											1.0																					
investor																																									1.0																	
invidious														1.0																																												
invigorate																																									1.0																	
invigorated																																							1.0																			
invincible											1.0																											1.0																				
inviolability													1.0															1.0																														
inviolable			1.0							1.0							1.0																																									
inviolate										1.0									1.0				1.0																1.0																			
invisible	1.0																																																									
invitation																												1.0																														
invitations																										1.0																																
invite																	1.0											1.0						2.0							1.0					1.0								1.0				
invited									1.0																	1.0			1.0																													
invites							1.0								2.0																											1.0					1.0											
inviting													1.0																																													
invoke															1.0	1.0		1.0						1.0	1.0	1.0					1.0							1.0						1.0		1.0												
invoked																																											1.0															
invokes																				1.0																																						
invoking													1.0					1.0										1.0	1.0							1.0																						
involuntary						1.0											1.0																																									
involve															1.0			1.0										1.0			1.0			1.0	1.0	1.0																						
involved								1.0		1.0																							1.0		2.0	2.0					1.0										2.0							
involvement																																											1.0															
involves										1.0						1.0									1.0			1.0					1.0			1.0						1.0																
involving																													1.0																													
iowa																																										1.0																
iraq																																																								1.0		
iron			1.0											1.0												1.0																		1.0														
irredeemable																							1.0																																			
irresistible																																							1.0																			
irresistibly																																	1.0																									
irresponsibility																																						1.0																		1.0		
irresponsible													1.0																		2.0																											
irrevocable																			1.0																																							
irrevocably																			1.0				1.0	1.0																																		
irritated			1.0																																																							
irritating																			1.0																																							
is	7.0		14.0	15.0	21.0	10.0	11.0	41.0	33.0	23.0	10.0	6.0	16.0	90.0	46.0	6.0	24.0	33.0	49.0	6.0	13.0	13.0	26.0	37.0	19.0	44.0	13.0	46.0	14.0	11.0	62.0	18.0	9.0	47.0	65.0	51.0	22.0	14.0	23.0	7.0	26.0	18.0	19.0	7.0	32.0	24.0	14.0	15.0	30.0	31.0	50.0	28.0	17.0	31.0	30.0	36.0	25.0	20.0
isaiah																																												1.0														
islamic																																																										1.0
island									1.0																				2.0														1.0															
islands																										1.0			7.0		1.0				1.0								1.0															
isle														1.0																																												
isles							1.0																																																			
isolated																		1.0																																								
isolation																																			1.0				1.0				1.0		1.0	1.0	1.0											
israel					1.0																																																					
issue				2.0			2.0								1.0				1.0				1.0	2.0							5.0				1.0									1.0					1.0									
issued			1.0																																																							
issues														1.0										1.0							2.0		1.0		1.0						1.0														1.0			
issuing																																																										1.0
isthmus																		1.0						2.0							3.0																											
isùthe																																							1.0																			
it	11.0	2.0	34.0	13.0	21.0	6.0	18.0	57.0	64.0	19.0	15.0	9.0	42.0	111.0	54.0	8.0	34.0	32.0	59.0	13.0	16.0	14.0	22.0	35.0	9.0	35.0	17.0	56.0	26.0	8.0	56.0	29.0	18.0	31.0	47.0	27.0	25.0	12.0	28.0	7.0	8.0	19.0	12.0	8.0	22.0	12.0	5.0	7.0	29.0	22.0	14.0	9.0	9.0	16.0	16.0	19.0	12.0	11.0
italy																																										1.0																
itemized																																1.0																										
items																																1.0																										
its	4.0	1.0	17.0	7.0	14.0	6.0	9.0	13.0	20.0	18.0	1.0	10.0	14.0	41.0	24.0	6.0	14.0	11.0	11.0		6.0		9.0	21.0	7.0	18.0	8.0	25.0	20.0	4.0	23.0	13.0	3.0	15.0	23.0	23.0	1.0	6.0	10.0	1.0	6.0	7.0	5.0	6.0	2.0	6.0	10.0	2.0	2.0	7.0	4.0	3.0	8.0	6.0	6.0	8.0	4.0	3.0
itself	1.0		1.0	2.0	3.0		1.0		2.0				2.0	6.0	3.0	1.0	2.0	3.0	7.0	1.0			1.0	3.0					1.0		1.0	2.0	3.0	1.0	1.0	3.0	3.0		2.0	2.0	1.0	2.0	4.0	1.0		2.0		2.0	1.0			1.0				1.0		1.0
iwo																																										1.0																
jailed																																																							1.0			
janeiro																																									1.0																	
january																												1.0																														1.0
jarring										1.0				1.0																																												
jars																																		1.0																								
jealous				1.0								1.0		1.0				1.0																	1.0																							
jealousies			1.0							2.0			1.0		2.0																																											
jealously																																		1.0																								
jealousy														1.0																				1.0	1.0																							
jefferson														4.0											1.0																								1.0	2.0		1.0		2.0				
jeopard															1.0																																											
jeopardized																					1.0																																					
jericho																																																						1.0				
jews																																																								1.0		
jima																																										1.0																
job																																						1.0											1.0		1.0		1.0			1.0	1.0	1.0
jobbers																		1.0																																								
jobs																																																	1.0			1.0				3.0	2.0	4.0
john																																																		1.0				1.0				
johnson																																												1.0		1.0												
join	1.0				1.0																1.0													1.0							1.0	2.0	1.0	3.0	1.0	2.0		2.0		1.0		1.0	1.0			1.0		
joined																								1.0															1.0			1.0														1.0		1.0
joint														1.0	1.0																										2.0	1.0																
joseph																																																	1.0									
journal																																														1.0												
journey																																				1.0									1.0					3.0		1.0	4.0		1.0	3.0	6.0	
journeyed																																																		1.0								
joy								1.0																													2.0																				1.0	
joyful																																																				1.0						
jubilee										1.0																																																
judge	1.0								1.0							1.0				1.0												1.0			1.0									1.0	1.0										1.0	1.0		
judged	1.0																			1.0																																						
judges												1.0					1.0		1.0				1.0													2.0																						
judgment	1.0			1.0	2.0				2.0				1.0	2.0	1.0		1.0	1.0	2.0		1.0	2.0	3.0	3.0		2.0	1.0	2.0	1.0		1.0		1.0	2.0											2.0		1.0										1.0	
judgments			2.0											1.0	1.0					1.0							1.0																															
judicial													1.0	1.0		2.0		1.0								1.0		1.0							1.0	3.0																						
judiciary										1.0				5.0									1.0																																			
judicious															1.0																																											
judiciously									1.0						1.0																																											
juggler																										1.0																																
julia																																																1.0										
july									1.0																																									1.0								
juncture	1.0																																																									
jungle																																			1.0									1.0														
jungles																																																	1.0									
juries				1.0																																1.0																						
jurisdiction						1.0								1.0	2.0		3.0							4.0		1.0					4.0																											
jurisdictions														1.0																																												
jurisprudence																			1.0																	1.0																						
just	2.0		1.0		3.0	2.0	1.0	10.0	5.0	2.0	3.0	2.0	6.0	3.0	6.0	2.0	3.0	2.0		2.0	1.0		2.0		1.0	6.0	2.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0		2.0		1.0		1.0	2.0	2.0		1.0	1.0	1.0	6.0	5.0	3.0	1.0	3.0	1.0	2.0	2.0	3.0	3.0	5.0	1.0
justice			6.0	1.0	4.0	2.0	3.0	1.0	2.0	4.0		1.0	2.0	3.0	2.0		1.0	3.0	3.0				2.0	1.0	2.0	6.0	1.0	2.0	2.0	2.0	3.0	8.0	2.0	5.0	8.0	14.0		1.0		1.0	6.0		6.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	2.0		1.0	4.0	6.0		2.0	1.0
justiciable																																		1.0		1.0																						
justifiable			1.0																																																							
justification																	1.0										2.0	1.0											1.0																			
justified																																			1.0			2.0	1.0																			
justifies																												1.0																														
justify														1.0				1.0	1.0							1.0			1.0																													
justly	1.0			1.0									1.0	1.0	1.0		1.0										1.0			1.0	1.0		1.0	2.0					1.0		1.0							1.0										
justness																																																								1.0		
kansas																		2.0																																								
keen																																			1.0																							
keep					1.0	1.0				1.0	1.0			4.0					1.0									1.0	1.0		2.0	1.0	1.0		1.0	1.0					2.0				1.0				1.0		1.0		1.0	1.0			2.0	
keepers																																																								1.0		
keeping					1.0				1.0					3.0											1.0			2.0								1.0															1.0	1.0						
keeps																								1.0														1.0								1.0			1.0									
kept				1.0				1.0		1.0		1.0					1.0		1.0					1.0				1.0											1.0						1.0				1.0									
key																					1.0										1.0										2.0						1.0											
khe																																																								1.0		
kill																																																		2.0								
killed																																							1.0			1.0							1.0									
killing																																																		1.0								
kind								1.0	2.0				1.0	1.0			1.0	1.0													1.0								1.0							2.0			2.0									
kinder																																																			1.0							
kindled										1.0																																																
kindles																																																							1.0			
kindly				1.0													1.0	2.0								1.0																																
kindness								1.0					2.0													1.0																				1.0										1.0		
kindred																		1.0									2.0																															
kinds									1.0			1.0																			2.0						1.0																					
king																								1.0																													1.0				2.0	
kings				1.0																																															1.0							
kitchen																																																					1.0					
kite																																																			1.0							
knees																																																		1.0								
knew							1.0							1.0						1.0													1.0					1.0												1.0		1.0				1.0		
knife							1.0																																																			
knight														1.0																																												
knit										1.0																																																
know				1.0	2.0		1.0						1.0	1.0			1.0				1.0						2.0			2.0		1.0	1.0	5.0	3.0	3.0	2.0	3.0	10.0	1.0	1.0	7.0	5.0	3.0	2.0	10.0		3.0	2.0	1.0	6.0	1.0	2.0	5.0	6.0	5.0	3.0	
knowing									2.0	1.0			1.0	1.0															1.0							1.0						1.0	1.0	1.0					1.0								3.0	
knowingly		1.0			1.0				1.0																																																	
knowledge			4.0		1.0				2.0		1.0		1.0						1.0							5.0		1.0				2.0		1.0	1.0	3.0			1.0		4.0	2.0	2.0		2.0							1.0	1.0	1.0		2.0	1.0	1.0
known								1.0	2.0	1.0			2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0						1.0		2.0					1.0				1.0	2.0				1.0								1.0			
knows																																											1.0				1.0		1.0			1.0					1.0	
koran																																																							1.0			
korea																																										2.0																
label																																			1.0																							
labeled																																						1.0																				
labor				2.0											1.0		1.0		5.0			1.0	1.0	2.0	3.0	2.0	2.0	4.0	1.0		7.0	2.0		1.0	1.0	1.0					3.0	3.0	2.0						1.0							1.0	1.0	1.0
laborer					1.0																																																					
laborers																															1.0																			1.0								
laboring													1.0	1.0															1.0																					1.0					1.0			
labors										1.0				2.0	1.0								1.0		1.0				1.0																								2.0					
labs																																																									1.0	
lack																																		1.0								1.0						1.0										
lacking																												1.0			1.0							1.0																				
lady																																																										1.0
laid	1.0		1.0										1.0				1.0									1.0					1.0			1.0								1.0																
laissez																															1.0																											
